Date,Open,High,Low,Close,AdjClose,Volume
4/8/2015,31.4625,31.6,31.2425,31.4,28.504463,149316800
4/9/2015,31.4625,31.645,31.165001,31.639999,28.722334,129936000
4/10/2015,31.487499,31.8025,31.315001,31.775,28.844891,160752000
4/13/2015,32.092499,32.142502,31.6525,31.7125,28.788149,145460400
4/14/2015,31.75,31.8225,31.477501,31.575001,28.663328,102098400
4/15/2015,31.602501,31.782499,31.502501,31.695,28.772259,115881600
4/16/2015,31.57,31.775,31.5275,31.5425,28.633823,113476000
4/17/2015,31.387501,31.535,31.115,31.1875,28.311565,207828000
4/20/2015,31.3925,32.029999,31.2925,31.9,28.958357,188217200
4/21/2015,32.025002,32.049999,31.6675,31.727501,28.801765,129740400
4/22/2015,31.747499,32.217499,31.58,32.154999,29.189842,150618000
4/23/2015,32.075001,32.605,32.035,32.4175,29.428137,183083600
4/24/2015,32.622501,32.657501,32.307499,32.57,29.56657,178103600
4/27/2015,33.077499,33.282501,32.787498,33.162498,30.104433,387816800
4/28/2015,33.615002,33.634998,32.392502,32.639999,29.630119,475696000
4/29/2015,32.540001,32.897499,32.075001,32.16,29.194382,253544400
4/30/2015,32.16,32.16,31.145,31.2875,28.402336,332781600
5/1/2015,31.525,32.532501,31.325001,32.237499,29.264729,234050400
5/4/2015,32.375,32.642502,32.064999,32.174999,29.208,203953200
5/5/2015,32.037498,32.112499,31.445,31.450001,28.549854,197085600
5/6/2015,31.639999,31.6875,30.84,31.252501,28.370564,288564000
5/7/2015,31.192499,31.52,31.004999,31.315001,28.546043,175763600
5/8/2015,31.67,31.905001,31.5275,31.905001,29.083876,222201600
5/11/2015,31.8475,31.889999,31.407499,31.58,28.787615,168143200
5/12/2015,31.4,31.719999,31.205,31.467501,28.685057,192640000
5/13/2015,31.5375,31.797501,31.467501,31.502501,28.716963,138776800
5/14/2015,31.852501,32.237499,31.790001,32.237499,29.386972,180814000
5/15/2015,32.267502,32.372501,32.052502,32.192501,29.345959,152832000
5/18/2015,32.095001,32.68,32.09,32.547501,29.669563,203531600
5/19/2015,32.672501,32.720001,32.41,32.517502,29.642221,178532800
5/20/2015,32.5,32.744999,32.334999,32.514999,29.639935,145819600
5/21/2015,32.517502,32.907501,32.4575,32.8475,29.943031,158921600
5/22/2015,32.900002,33.2425,32.849998,33.134998,30.205114,182384000
5/26/2015,33.150002,33.227501,32.279999,32.404999,29.539665,282790400
5/27/2015,32.584999,33.064999,32.512501,33.009998,30.091177,183332800
5/28/2015,32.965,32.987499,32.775002,32.945,30.031919,122933200
5/29/2015,32.807499,32.862499,32.474998,32.57,29.690079,203538000
6/1/2015,32.57,32.8475,32.512501,32.634998,29.749323,128451200
6/2/2015,32.465,32.665001,32.330002,32.490002,29.617149,134670400
6/3/2015,32.665001,32.735001,32.474998,32.529999,29.653605,123934000
6/4/2015,32.395,32.645,32.227501,32.34,29.480413,153800400
6/5/2015,32.375,32.422501,32.09,32.162498,29.318611,142507200
6/8/2015,32.224998,32.302502,31.7075,31.950001,29.124899,210699200
6/9/2015,31.674999,32.02,31.405001,31.855,29.03829,224301600
6/10/2015,31.98,32.334999,31.9625,32.220001,29.371027,156349200
6/11/2015,32.294998,32.544998,32.119999,32.147499,29.304932,141563600
6/12/2015,32.047501,32.0825,31.7775,31.7925,28.981323,147544800
6/15/2015,31.525,31.809999,31.4275,31.73,28.924349,175955600
6/16/2015,31.7575,31.9625,31.592501,31.9,29.079313,125976400
6/17/2015,31.93,31.969999,31.684999,31.825001,29.010952,131672400
6/18/2015,31.807501,32.077499,31.805,31.969999,29.143129,141628800
6/19/2015,31.9275,31.955,31.6,31.65,28.851418,218867600
6/22/2015,31.872499,32.014999,31.77,31.9025,29.0816,136157200
